id,event_date,event_name,category,place,location,point,start,end,start_mo,start_year,end_mo,end_year,lon,lat
693,2019-04-09,Konformista 2029,Spektakle teatralne,"Teatr Łaźnia Nowa, os. Szkolne 25","Teatr Łaźnia Nowa, 25, Osiedle Szkolne, Szkolne, Nowa Huta, Kraków, małopolskie, 31-977, RP","[50.0782215, 20.0479478]",2019/04/09,,4,2019,,,50.0782215,20.0479478
694,2019-04-09,"Zagraj to jeszcze raz, Sam",Spektakle teatralne,"Teatr im. Juliusza Słowackiego, pl. Świętego Ducha 1","Teatr im. Juliusza Słowackiego, 1, Plac Świętego Ducha, Stare Miasto, Kraków, małopolskie, 31-023, RP","[50.0639468, 19.9430659438399]",2019/04/09,,4,2019,,,50.0639468,19.9430659438399
695,2019-04-09,Piękna i Bestia,Spektakle teatralne, ul. Skarbowa 2 Krakow,"Teatr Groteska, 2, Skarbowa, Piasek, Stare Miasto, Kraków, małopolskie, 31-121, RP","[50.0631883, 19.9265845]",2019/04/09,,4,2019,,,50.0631883,19.9265845
696,2019-04-09,"Gwiazdy dla Autyzmu: Andrus, Mozil, Jabłońska, Orkiestra Wieniawa",Inne koncerty, al. Jana Pawła II 232 Krakow,"Marchewka Bistro, 232, Aleja Jana Pawła II, Mogiła, Nowa Huta, Kraków, małopolskie, 31-913, RP","[50.0702498, 20.034565]",2019/04/09,,4,2019,,,50.0702498,20.034565
697,2019-04-09,„Złota. Legenda Haliny Konopackiej”. Spotkanie z Agnieszką Metelską,Spotkania i wykłady literackie, ul. Bracka 14 Krakow,"Bracka, Stare Miasto, Kraków, małopolskie, 31-005, RP","[50.0598698, 19.9362162]",2019/04/09,,4,2019,,,50.0598698,19.9362162
698,2019-04-09,"Aeternus Prophet, Be Under Arms w RockShot Pub",Muzyka rozrywkowa, ul. Grodzka 42 Krakow,"42, Grodzka, Stare Miasto, Kraków, małopolskie, 31-044, RP","[50.0578489, 19.9382158]",2019/04/09,,4,2019,,,50.0578489,19.9382158
699,2019-04-02-2019-04-05,Przegląd Teatralno-Muzyczny „O Buławę Lajkonika”,Pozostałe, ul. Krupnicza 38 Krakow,"Paradox, 38, Krupnicza, Piasek, Stare Miasto, Kraków, małopolskie, 31-121, RP","[50.0627251, 19.9265814]",2019/04/02,2019/04/05,4,2019,4.0,2019.0,50.0627251,19.9265814
700,2019-04-05,Koncert życzeń,Spektakle teatralne,"Teatr Łaźnia Nowa, os. Szkolne 25","Teatr Łaźnia Nowa, 25, Osiedle Szkolne, Szkolne, Nowa Huta, Kraków, małopolskie, 31-977, RP","[50.0782215, 20.0479478]",2019/04/05,,4,2019,,,50.0782215,20.0479478
701,2019-04-05,Tannhäuser,Muzyka klasyczna,"Opera Krakowska, ul. Lubicz 48","Opera Krakowska, 48, Lubicz, Wesoła, Grzegórzki, Kraków, małopolskie, 31-512, RP","[50.065927, 19.9561894373848]",2019/04/05,,4,2019,,,50.065927,19.9561894373848
702,2019-04-05,"Battle Beast, Arion w Kwadracie",Muzyka rozrywkowa, ul. Skarżyńskiego 1 Krakow,"Skarżyńskiego, Stanisława Skarżyńskiego, Osiedle Dywizjonu 303, Czyżyny, Kraków, małopolskie, 31-866, RP","[50.0839729, 19.9965092]",2019/04/05,,4,2019,,,50.0839729,19.9965092
