current_density,frequencies,amplitudes
3000000000.0,7142862.244901602,36919.993635188104
3000000000.0,14285724.489803204,35674.44143275714
3000000000.0,21428586.734704807,33853.78774433674
3000000000.0,28571448.97960641,31719.935909534128
3000000000.0,35714311.22450801,29492.848632408783
3000000000.0,42857173.469409615,27320.8129355945
3000000000.0,50000035.71431121,25286.4642267095
3000000000.0,57142897.95921282,23425.809066255282
3000000000.0,64285760.20411442,21746.52275274959
3000000000.0,71428622.44901602,20241.11497368636
3000000000.0,78571484.69391762,18895.119849550043
3000000000.0,85714346.93881923,17691.728931684218
3000000000.0,92857209.18372083,16614.204653975197
3000000000.0,100000071.42862242,15647.013906000768
3000000000.0,107142933.67352404,14776.264696694441
3000000000.0,114285795.91842563,13989.783973092095
3000000000.0,121428658.16332723,13277.024162226075
3000000000.0,128571520.40822884,12628.898840325897
3000000000.0,135714382.65313044,12037.5991012719
3000000000.0,142857244.89803204,11496.41563010442
3000000000.0,150000107.14293364,10999.577337642115
3000000000.0,157142969.38783523,10542.110088556201
3000000000.0,164285831.63273686,10119.715521955135
3000000000.0,171428693.87763846,9728.668286257764
3000000000.0,178571556.12254006,9365.729479065156
3000000000.0,185714418.36744165,9028.07396740525
3000000000.0,192857280.61234325,8713.229427105161
3000000000.0,200000142.85724485,8419.025213774268
3000000000.0,207143005.10214648,8143.549403220699
3000000000.0,214285867.34704807,7885.112649500292
3000000000.0,221428729.59194967,7642.217689626357
3000000000.0,228571591.83685127,7413.533552883109
3000000000.0,235714454.08175287,7197.87368708581
3000000000.0,242857316.32665446,6994.177344823396
3000000000.0,250000178.57155606,6801.493706336637
3000000000.0,257143040.8164577,6618.9682853279
3000000000.0,264285903.0613593,6445.83126176028
3000000000.0,271428765.3062609,6281.387434231921
3000000000.0,278571627.5511625,6125.007543132399
3000000000.0,285714489.7960641,5976.120755407177
3000000000.0,292857352.0409657,5834.208137992914
3000000000.0,300000214.2858673,5698.79697175031
3000000000.0,307143076.5307689,5569.455788154694
3000000000.0,314285938.77567047,5445.790021446942
3000000000.0,321428801.0205721,5327.438193108848
3000000000.0,328571663.2654737,5214.068554928434
3000000000.0,335714525.5103753,5105.376125684684
3000000000.0,342857387.7552769,5001.080074720913
3000000000.0,350000250.0001785,4900.921399529509
3000000000.0,357143112.2450801,4804.660867024951
3000000000.0,364285974.4899817,4712.077178659144
3000000000.0,371428836.7348833,4622.965335852369
3000000000.0,378571698.9797849,4537.13517878188
3000000000.0,385714561.2246865,4454.410078334423
3000000000.0,392857423.4695881,4374.62576301725
3000000000.0,400000285.7144897,4297.629264817149
3000000000.0,407143147.9593913,4223.277970400392
3000000000.0,414286010.20429295,4151.438765346703
3000000000.0,421428872.44919455,4081.987262071817
3000000000.0,428571734.69409615,4014.8070998617254
3000000000.0,435714596.93899775,3949.7893129229883
3000000000.0,442857459.18389934,3886.831754327405
3000000000.0,450000321.42880094,3825.8385750720545
3000000000.0,457143183.67370254,3766.7197480937803
3000000000.0,464286045.91860414,3709.390635403823
3000000000.0,471428908.16350573,3653.7715932559204
3000000000.0,478571770.40840733,3599.7876103959684
3000000000.0,485714632.6533089,3547.3679783719326
3000000000.0,492857494.8982105,3496.4459884964253
3000000000.0,500000357.1431121,3446.958654232475
3000000000.0,507143219.3880138,3398.846456842225
3000000000.0,514286081.6329154,3352.0531102037967
3000000000.0,521428943.877817,3306.52534613671
3000000000.0,528571806.1227186,3262.212714922411
3000000000.0,535714668.36762017,3219.067402430153
3000000000.0,542857530.6125218,3177.044061046276
3000000000.0,550000392.8574234,3136.099652662923
3000000000.0,557143255.102325,3096.193304997243
3000000000.0,564286117.3472266,3057.2861764274485
3000000000.0,571428979.5921282,3019.3413330064845
3000000000.0,578571841.8370298,2982.323632123677
3000000000.0,585714704.0819314,2946.1996165087007
3000000000.0,592857566.326833,2910.937413911738
3000000000.0,600000428.5717345,2876.5066453297386
3000000000.0,607143290.8166362,2842.8783383369
3000000000.0,614286153.0615377,2810.02484712843
3000000000.0,621429015.3064394,2777.9197777029917
3000000000.0,628571877.5513409,2746.5379176601837
3000000000.0,635714739.7962426,2715.8551716677885
3000000000.0,642857602.0411443,2685.8484995361096
3000000000.0,650000464.2860458,2656.495860256374
3000000000.0,657143326.5309474,2627.776157634785
3000000000.0,664286188.775849,2599.669191021917
3000000000.0,671429051.0207506,2572.155608060326
3000000000.0,678571913.2656522,2545.216860759412
3000000000.0,685714775.5105538,2518.835164433978
3000000000.0,692857637.7554554,2492.99345867458
3000000000.0,700000500.000357,2467.675371090518
3000000000.0,707143362.2452586,2442.8651831207276
3000000000.0,714286224.4901602,2418.547797457703
3000000000.0,721429086.7350618,2394.708708298938
3000000000.0,728571948.9799634,2371.3339720004547
3000000000.0,735714811.2248651,2348.4101808980145
3000000000.0,742857673.4697666,2325.924437232225
3000000000.0,750000535.7146683,2303.864329618018
3000000000.0,757143397.9595698,2282.2179101543566
3000000000.0,764286260.2044715,2260.9736730808822
3000000000.0,771429122.449373,2240.1205346299157
3000000000.0,778571984.6942747,2219.647813729418
3000000000.0,785714846.9391762,2199.5452141462065
3000000000.0,792857709.1840779,2179.802807036645
3000000000.0,800000571.4289794,2160.4110151153677
3000000000.0,807143433.673881,2141.3605968058887
3000000000.0,814286295.9187826,2122.6426321956747
3000000000.0,821429158.1636842,2104.2485086531465
3000000000.0,828572020.4085859,2086.16990822564
3000000000.0,835714882.6534874,2068.398794774199
3000000000.0,842857744.8983891,2050.927402401205
3000000000.0,850000607.1432906,2033.7482241118344
3000000000.0,857143469.3881923,2016.8540011136627
3000000000.0,864286331.6330938,2000.237712710712
3000000000.0,871429193.8779955,1983.89256662418
3000000000.0,878572056.122897,1967.8119897143472
3000000000.0,885714918.3677987,1951.9896194032117
3000000000.0,892857780.6127002,1936.4192950717513
3000000000.0,900000642.8576019,1921.095050396499
3000000000.0,907143505.1025034,1906.011105521872
3000000000.0,914286367.3474051,1891.1618599988547
3000000000.0,921429229.5923067,1876.5418858174035
3000000000.0,928572091.8372083,1862.1459208483202
3000000000.0,935714954.0821099,1847.9688625339154
3000000000.0,942857816.3270115,1834.005761994323
3000000000.0,950000678.5719131,1820.2518180742745
3000000000.0,957143540.8168147,1806.7023722217207
3000000000.0,964286403.0617163,1793.3529028091882
3000000000.0,971429265.3066179,1780.1990205959235
3000000000.0,978572127.5515195,1767.2364635254603
3000000000.0,985714989.796421,1754.4610924439523
3000000000.0,992857852.0413227,1741.8688865716133
3000000000.0,1000000714.2862242,1729.4559392792771
3000000000.0,1007143576.5311259,1717.2184542405078
3000000000.0,1014286438.7760276,1705.152741297101
3000000000.0,1021429301.0209291,1693.255213119852
3000000000.0,1028572163.2658308,1681.5223812567638
3000000000.0,1035715025.5107323,1669.9508532090929
