J0,Ts,me
1e-20,1.0,0.9986174384149075
1e-20,6.0201005025125625,0.9916180903451943
1e-20,11.040201005025125,0.9845176416221343
1e-20,16.060301507537687,0.9773115755763088
1e-20,21.08040201005025,0.969995041675427
1e-20,26.100502512562812,0.9625627871249182
1e-20,31.120603015075375,0.9550091552405369
1e-20,36.14070351758794,0.9473279903826981
1e-20,41.1608040201005,0.9395125937465036
1e-20,46.18090452261306,0.9315556964008743
1e-20,51.201005025125625,0.9234493097356855
1e-20,56.22110552763819,0.9151846774639243
1e-20,61.24120603015075,0.9067521337135429
1e-20,66.26130653266331,0.8981410534494267
1e-20,71.28140703517587,0.8893395851700059
1e-20,76.30150753768844,0.8803345865005793
1e-20,81.321608040201,0.8711113179088821
1e-20,86.34170854271356,0.8616534109795426
1e-20,91.36180904522612,0.8519425869723846
1e-20,96.38190954773869,0.8419585533479199
1e-20,101.40201005025125,0.831678705306739
1e-20,106.42211055276381,0.8210782567910471
1e-20,111.44221105527637,0.8101298511222631
1e-20,116.46231155778894,0.7988035949178098
1e-20,121.4824120603015,0.7870668795846328
1e-20,126.50251256281406,0.774884265416241
1e-20,131.52261306532662,0.7622170217247323
1e-20,136.5427135678392,0.7490232162202015
1e-20,141.56281407035175,0.7352569564611905
1e-20,146.5829145728643,0.7208678624157094
1e-20,151.60301507537687,0.7058004755713543
1e-20,156.62311557788945,0.6899932233226784
1e-20,161.643216080402,0.6733772552811952
1e-20,166.66331658291455,0.6558746295747572
1e-20,171.68341708542712,0.6373961945958846
1e-20,176.7035175879397,0.617838666896543
1e-20,181.72361809045225,0.5970806544049947
1e-20,186.7437185929648,0.5749771320761798
1e-20,191.76381909547737,0.5513517065841304
1e-20,196.78391959798995,0.5259850030254511
1e-20,201.8040201005025,0.4985969996905819
1e-20,206.82412060301505,0.46881943016512695
1e-20,211.84422110552762,0.4361491356890599
1e-20,216.8643216080402,0.3998632325068815
1e-20,221.88442211055275,0.35885143260721464
1e-20,226.9045226130653,0.3112352016891249
1e-20,231.92462311557787,0.2532978632712881
1e-20,236.94472361809045,0.1751004583166682
1e-20,241.964824120603,0.04765121288172323
1e-20,246.98492462311555,0.0015634244055365424
1e-20,252.00502512562812,3.572274284034336e-05
1e-20,257.0251256281407,1.5414603694807738e-05
1e-20,262.04522613065325,1.1633750546025112e-05
1e-20,267.0653266331658,9.306597348768264e-06
1e-20,272.0854271356784,7.818875019438565e-06
1e-20,277.10552763819095,6.6050924942828715e-06
1e-20,282.1256281407035,5.777277692686766e-06
1e-20,287.14572864321605,5.122637958265841e-06
1e-20,292.1658291457286,4.706482286565006e-06
1e-20,297.1859296482412,4.2491883505135775e-06
1e-20,302.20603015075375,3.8933358155190945e-06
1e-20,307.2261306532663,3.668334102258086e-06
1e-20,312.2462311557789,3.3229152904823422e-06
1e-20,317.26633165829145,3.1054223654791713e-06
1e-20,322.286432160804,2.961780410259962e-06
1e-20,327.30653266331655,2.7036003302782774e-06
1e-20,332.3266331658291,2.5993940653279424e-06
1e-20,337.3467336683417,2.4773762561380863e-06
1e-20,342.36683417085425,2.320244675502181e-06
1e-20,347.3869346733668,2.2555759642273188e-06
1e-20,352.4070351758794,2.129439963027835e-06
1e-20,357.42713567839195,2.0722218323498964e-06
1e-20,362.4472361809045,1.9375584088265896e-06
1e-20,367.46733668341705,1.8558348529040813e-06
1e-20,372.4874371859296,1.8193386495113373e-06
1e-20,377.5075376884422,1.6925041563808918e-06
1e-20,382.52763819095475,1.6029225662350655e-06
1e-20,387.5477386934673,1.5445984899997711e-06
1e-20,392.5678391959799,1.5133991837501526e-06
1e-20,397.58793969849245,1.506909029558301e-06
1e-20,402.608040201005,1.401873305439949e-06
1e-20,407.62814070351754,1.4368852134793997e-06
1e-20,412.6482412060301,1.3702374417334795e-06
1e-20,417.6683417085427,1.3210810720920563e-06
1e-20,422.68844221105525,1.2872915249317884e-06
1e-20,427.7085427135678,1.2672971934080124e-06
1e-20,432.7286432160804,1.2600794434547424e-06
1e-20,437.74874371859295,1.1515221558511257e-06
1e-20,442.7688442211055,1.1652009561657906e-06
1e-20,447.78894472361804,1.0800431482493877e-06
1e-20,452.8090452261306,1.110951416194439e-06
1e-20,457.8291457286432,1.0436633601784706e-06
1e-20,462.84924623115575,1.0903459042310715e-06
1e-20,467.8693467336683,1.0372023098170757e-06
1e-20,472.8894472361809,9.918585419654846e-07
1e-20,477.90954773869345,9.534996934235096e-07
1e-20,482.929648241206,9.213108569383621e-07
1e-20,487.94974874371854,8.944771252572536e-07
1e-20,492.9698492462311,8.726492524147034e-07
1e-20,497.9899497487437,8.553033694624901e-07
1e-20,503.01005025125625,8.420320227742195e-07
1e-20,508.0301507537688,8.326605893671513e-07
1e-20,513.0502512562814,8.26898030936718e-07
1e-20,518.0703517587939,8.245115168392658e-07
1e-20,523.0904522613065,8.255592547357082e-07
1e-20,528.1105527638191,8.297502063214779e-07
1e-20,533.1306532663316,7.456401363015175e-07
1e-20,538.1507537688442,7.543130777776241e-07
1e-20,543.1708542713568,7.660128176212311e-07
1e-20,548.1909547738693,7.805647328495979e-07
1e-20,553.2110552763819,7.082126103341579e-07
1e-20,558.2311557788944,7.26024154573679e-07
1e-20,563.251256281407,7.466296665370464e-07
1e-20,568.2713567839196,6.817281246185303e-07
1e-20,573.2914572864321,7.049529813230038e-07
1e-20,578.3115577889447,6.461632438004017e-07
1e-20,583.3316582914572,6.716581992805004e-07
1e-20,588.3517587939698,6.176996976137161e-07
1e-20,593.3718592964824,6.454065442085266e-07
1e-20,598.3919597989949,6.761401891708374e-07
1e-20,603.4120603015075,6.2515027821064e-07
1e-20,608.4321608040201,5.78584149479866e-07
1e-20,613.4522613065326,6.102491170167923e-07
1e-20,618.4723618090452,5.665933713316917e-07
1e-20,623.4924623115578,6.00120984017849e-07
1e-20,628.5125628140703,5.586771294474602e-07
1e-20,633.5326633165829,5.943002179265022e-07
1e-20,638.5527638190954,5.548354238271713e-07
1e-20,643.572864321608,5.924375727772713e-07
1e-20,648.5929648241206,5.546025931835175e-07
1e-20,653.6130653266331,5.195615813136101e-07
1e-20,658.6331658291457,5.578622221946716e-07
1e-20,663.6532663316582,5.237525328993797e-07
1e-20,668.6733668341708,5.644978955388069e-07
1e-20,673.6934673366834,5.312031134963036e-07
1e-20,678.7135678391959,5.005858838558197e-07
1e-20,683.7336683417085,5.419133231043816e-07
1e-20,688.7537688442211,5.116453394293785e-07
1e-20,693.7738693467336,4.833564162254333e-07
1e-20,698.7939698492462,5.259644240140915e-07
1e-20,703.8140703517588,4.979083314538002e-07
1e-20,708.8341708542713,4.7171488404273987e-07
1e-20,713.8542713567839,4.470348358154297e-07
1e-20,718.8743718592964,4.890607669949532e-07
1e-20,723.894472361809,4.6461354941129684e-07
1e-20,728.9145728643216,4.414469003677368e-07
1e-20,733.9346733668341,4.849862307310104e-07
1e-20,738.9547738693467,4.617031663656235e-07
1e-20,743.9748743718592,4.3981708586215973e-07
1e-20,748.9949748743718,4.1921157389879227e-07
1e-20,754.0150753768844,4.6263448894023895e-07
1e-20,759.0351758793969,4.417961463332176e-07
1e-20,764.0552763819095,4.220055416226387e-07
1e-20,769.0753768844221,4.0337909013032913e-07
1e-20,774.0954773869346,4.4726766645908356e-07
1e-20,779.1155778894472,4.2817555367946625e-07
1e-20,784.1356783919598,4.100147634744644e-07
1e-20,789.1557788944723,3.9278529584407806e-07
1e-20,794.1758793969849,3.766035661101341e-07
1e-20,799.1959798994974,4.1979365050792694e-07
1e-20,804.21608040201,4.029134288430214e-07
1e-20,809.2361809045226,3.869645297527313e-07
1e-20,814.2562814070351,3.718305379152298e-07
1e-20,819.2763819095477,4.1618477553129196e-07
1e-20,824.2964824120602,4.0035229176282883e-07
1e-20,829.3165829145728,3.852182999253273e-07
1e-20,834.3366834170854,3.708992153406143e-07
1e-20,839.3567839195979,3.57162207365036e-07
1e-20,844.3768844221105,3.441236913204193e-07
1e-20,849.3969849246231,3.8731377571821213e-07
1e-20,854.4170854271356,3.738095983862877e-07
1e-20,859.4371859296482,3.6065466701984406e-07
1e-20,864.4572864321608,3.4819822758436203e-07
1e-20,869.4773869346733,3.363238647580147e-07
1e-20,874.4974874371859,3.7997961044311523e-07
1e-20,879.5175879396984,3.674067556858063e-07
1e-20,884.537688442211,3.5529956221580505e-07
1e-20,889.5577889447236,3.4365803003311157e-07
1e-20,894.5778894472361,3.327149897813797e-07
1e-20,899.5979899497487,3.220047801733017e-07
1e-20,904.6180904522612,3.119930624961853e-07
1e-20,909.6381909547738,3.5401899367570877e-07
1e-20,914.6582914572864,3.4319236874580383e-07
1e-20,919.6783919597989,3.3283140510320663e-07
1e-20,924.6984924623115,3.2281968742609024e-07
1e-20,929.7185929648241,3.1315721571445465e-07
1e-20,934.7386934673366,3.0407682061195374e-07
1e-20,939.7587939698492,2.952292561531067e-07
1e-20,944.7788944723618,3.3655669540166855e-07
1e-20,949.7989949748743,3.2712705433368683e-07
