,x,y,label,href,title,author
848,0.20020102,-1.6273946,"['1895', 'illustration', 'Art Nouveau (Modern)', ['Victoria and Albert Museum (V&A)', ' London', ' UK'], ['Victoria and Albert Museum (V&A)', ' London', ' UK'], ['Victoria and Albert Museum (V&A)', ' London', ' UK'], ['allegories-and-symbols', ' male-portraits', ' mirrors'], ['allegories-and-symbols', ' male-portraits', ' mirrors'], ['allegories-and-symbols', ' male-portraits', ' mirrors']]",./artworks/images/The Mirror of Love_Beardsley Aubrey.jpg,The Mirror of Love,Beardsley Aubrey
849,-0.050300386,-1.7721976,"['1895', 'illustration', 'Art Nouveau (Modern)', ['animals', ' monkeys', ' fictional-characters'], ['animals', ' monkeys', ' fictional-characters'], ['animals', ' monkeys', ' fictional-characters']]",./artworks/images/The Murders in the Rue Morgue_Beardsley Aubrey.jpg,The Murders in the Rue Morgue,Beardsley Aubrey
850,-0.119718,-1.824736,"['1895', 'illustration', 'Art Nouveau (Modern)', 'Private Collection', ['female-portraits', ' fictional-characters'], ['female-portraits', ' fictional-characters']]",./artworks/images/The Repentance of Mrs..._Beardsley Aubrey.jpg,The Repentance of Mrs...,Beardsley Aubrey
851,-0.071902014,-1.7094862,"['1895', 'illustration', 'Art Nouveau (Modern)']",./artworks/images/The Scarlet Pastorale_Beardsley Aubrey.jpg,The Scarlet Pastorale,Beardsley Aubrey
852,-0.10421852,-1.7564114,"['1895', 'illustration', 'Art Nouveau (Modern)', ['fictional-characters', ' Aphrodite/Venus'], ['fictional-characters', ' Aphrodite/Venus']]","./artworks/images/The Story of Venus and Tannhaeuse, frontispiece_Beardsley Aubrey.jpg","The Story of Venus and Tannhaeuse, frontispiece",Beardsley Aubrey
853,-0.07187795,-1.7095408,"['1895', 'illustration', 'Art Nouveau (Modern)']",./artworks/images/The Toilet of Helen_Beardsley Aubrey.jpg,The Toilet of Helen,Beardsley Aubrey
854,-0.72435576,-1.6887252,"['1895', 'design', 'Art Nouveau (Modern)', 'designs-and-sketches']",./artworks/images/Title page and key monogram of The Mountain Lover_Beardsley Aubrey.jpg,Title page and key monogram of The Mountain Lover,Beardsley Aubrey
855,-0.11970754,-1.8247367,"['1895', 'illustration', 'Art Nouveau (Modern)', 'Private Collection', ['female-portraits', ' fictional-characters'], ['female-portraits', ' fictional-characters']]",./artworks/images/Woman in a Bookshop_Beardsley Aubrey.jpg,Woman in a Bookshop,Beardsley Aubrey
856,0.026795147,-1.3942059,"['1896', 'genre painting', 'Art Nouveau (Modern)', ['arts-and-crafts', ' female-portraits'], ['arts-and-crafts', ' female-portraits']]","./artworks/images/A Repetition of ""Tristan und Isolde""_Beardsley Aubrey.jpg","A Repetition of ""Tristan und Isolde""",Beardsley Aubrey
857,-0.32017362,-1.6940607,"['1896', 'mythological painting', 'Art Nouveau (Modern)', 'Private Collection', ['Greek-and-Roman-Mythology', ' gods-and-goddesses', ' Apollo'], ['Greek-and-Roman-Mythology', ' gods-and-goddesses', ' Apollo'], ['Greek-and-Roman-Mythology', ' gods-and-goddesses', ' Apollo']]",./artworks/images/Apollo pursuing Daphne_Beardsley Aubrey.jpg,Apollo pursuing Daphne,Beardsley Aubrey
