,x,y,distance,source,airline
11023,-17.661587,6.7413487,881.1075124149638,LAX,AM
33219,-2.428319,4.1245785,954.9763341028345,STR,IG
7274,-2.0670981,-10.110656,1316.8908294960015,GRZ,AB
50232,27.416256,-43.37736,3208.608791885626,BRU,SN
12961,-2.179047,-4.197065,1152.168699089402,ARN,AZ
11038,-6.8197904,36.009098,399.94823505503666,LMM,AM
36157,-12.834861,-6.0047674,1113.7519369386584,ABE,KL
5704,-11.179053,-10.323524,1205.2621757948934,LAX,AA
25240,5.562837,-31.466722,1800.933210297584,MDW,FL
18741,5.901207,18.974493,659.8282918730735,KWE,CZ
52857,-2.4487307,6.068206,907.8907455444179,VAN,TK
42251,6.050184,5.593334,942.9941273611962,SHA,MU
67017,6.297987,3.3700724,989.8663579452966,NDG,ZH
17209,4.467584,-11.220272,1320.9903551816208,XMN,CA
8278,-12.585801,-8.453539,1150.5890369754977,YVR,AC
57859,8.810199,-34.29217,1988.5251905984135,YHZ,UA
16451,6.096652,-24.07014,1659.5035449056684,INC,CA
32264,-2.2769256,-8.083899,1241.1362442046454,BCN,IB
7981,-15.0921755,21.066011,673.409066903552,MKE,AC
5821,1.0752013,-19.617386,1489.5495862621042,LHR,AA
66660,5.190298,-5.4384084,1175.5994647125094,CAN,ZH
41920,4.0623074,-11.196807,1321.5619905776418,NAY,MU
66696,4.3357654,30.544983,362.2718026033478,CHG,ZH
50099,3.0340536,-23.358332,1604.2563709437868,OSL,SK
37727,15.4957285,-36.24155,2243.0323844181694,MDE,LA
44024,29.53592,-43.928406,3434.718035567292,SFO,NZ
61170,9.73833,-32.271126,1947.327511915528,PEW,VA
25123,-16.599628,3.964474,927.0838177303234,IAD,FL
11017,-17.709251,10.252009,825.6956616024012,LAP,AM
33180,-3.2685418,9.597051,838.5414125908551,MXP,IG
25506,-17.495676,14.89829,772.6263200638984,SMF,FL
25478,-16.772175,0.88671863,975.089316263444,SEA,FL
9040,-15.850451,16.81614,734.7556381568949,ATL,AF
32533,17.29299,-38.73201,2400.148623547651,IEV,IB
9458,-11.506076,-7.9174156,1158.0263834002933,DAL,AF
32251,-15.916093,2.0097766,959.0645602676874,ATL,IB
67081,3.9607244,-12.078871,1342.9678990490588,PEK,ZH
16128,5.775138,-0.7479875,1068.426719275067,CGQ,CA
52782,1.7206936,23.931162,578.62229738217,SAW,TK
56889,-12.786841,28.732225,563.8363078937957,JAN,UA
67130,6.1144686,4.673172,962.0634526720144,PEK,ZH
41925,5.855534,17.275978,691.7166146247383,NAY,MU
41551,5.8504863,23.53778,560.1316464899893,FUG,MU
10973,-17.839962,10.1935425,825.6956616024012,GDL,AM
42391,4.6667056,31.089108,337.1164683966046,TXN,MU
11934,31.895895,-45.53274,3886.637904486668,SEA,AS
16478,5.0558324,26.281418,497.6002451616746,JUZ,CA
19407,5.9058304,15.384231,730.8929035378526,XMN,CZ
38390,-4.10135,35.64291,359.10047584307887,GRU,LH
16101,6.534102,10.473316,844.9896016343226,CGO,CA
25004,-15.093598,22.481924,657.4167204673972,CMH,FL
36410,-0.7927077,-23.661736,1531.067789453141,ATL,KL
55924,-5.8112392,-15.132658,1366.1460881176113,BUR,UA
38422,7.097869,-30.344147,1817.8173947989692,HER,LH
17145,5.4717965,-21.234922,1572.1620467373666,WUX,CA
66964,9.350674,-30.47749,1883.4802656945753,KMG,ZH
6659,-16.266785,14.828249,762.3184387655328,RIC,AA
19008,6.4732885,14.131469,761.0684516414916,SHA,CZ
36558,0.7078078,40.035896,133.36375513525203,CSG,KL
37805,-6.748184,-12.0086355,1275.9691655813315,SLA,LA
32481,-2.370532,1.0538005,1027.7281405788285,FEZ,IB
24982,-17.017399,12.208957,794.6538238957302,BWI,FL
25304,-13.189861,-5.189053,1100.2998227639982,MEM,FL
32235,-2.3000343,-8.06225,1241.1362442046454,AMS,IB
67074,6.38834,5.2021866,951.6064726126216,PEK,ZH
20505,-12.613418,-6.791218,1129.0632517044196,CVG,DL
46116,3.9055214,-9.691775,1277.9933840784886,CAN,PR
17203,5.3979855,0.9396375,1036.9540192096113,XMN,CA
40492,1.4397304,-20.445753,1521.3038023878014,AMS,MH
20907,-12.277777,28.128345,567.2908403266033,ITH,DL
6708,1.179917,-27.753115,1692.2473795404437,SAN,AA
9583,-13.8553095,25.881538,605.8847963590904,ILM,AF
17275,6.553968,13.514138,773.672002394458,ZUH,CA
16972,4.2177286,29.784832,389.81199828406756,SZX,CA
25360,29.243286,-43.517822,3387.1297073668366,OAK,FL
58961,-5.875975,35.145607,399.62924890611106,DCA,US
56515,1.2395794,-27.248661,1678.8989416800464,GRR,UA
41915,7.0244246,-25.249096,1717.6348128772295,NAY,MU
67422,3.960938,-9.963195,1283.2188628290398,YTY,ZH
6508,-16.656021,6.086998,890.8033931729344,PHL,AA
56409,-15.260284,-1.0395468,1014.2735394312516,EWR,UA
25299,-16.938791,3.234327,937.5056831879097,MDW,FL
52387,1.8489163,23.81996,581.8602440392095,ESB,TK
17135,5.8257737,22.04395,597.237591674791,WUH,CA
11001,-12.491845,-7.416597,1140.4210858869083,HMO,AM
52327,-2.1139977,2.6178315,992.9242248335942,DIY,TK
67158,3.9161794,-11.446516,1326.9496591421123,PVG,ZH
13376,-3.206528,14.197731,717.9564741660643,GLA,AZ
36616,9.5699625,-35.066525,2037.5353134631782,EZE,KL
37582,-16.68629,20.262554,691.6065123759528,BOG,LA
13125,-3.0351202,37.866505,307.5885579580446,CAE,AZ
36984,-1.7541342,-23.499134,1504.0149497641373,YYZ,KL
9679,1.3214346,25.70059,517.4295941758219,LYS,AF
41698,4.2893248,-16.024075,1442.5020936913688,JMU,MU
8458,-16.671347,7.3948817,870.2491911660526,YYZ,AC
18896,5.7629585,0.94757366,1036.9540192096113,NNG,CZ
10914,-4.1006145,37.692013,329.19180088346644,CJS,AM
42907,6.786892,11.463628,821.3538137107515,HND,NH
16452,5.0474424,-3.9333277,1137.130417067756,INC,CA
32366,7.4223957,-31.436045,1859.3652056250376,BIO,IB
13498,2.3953183,-25.244364,1633.8290186913946,MAD,AZ
44658,-2.2044632,1.2397373,1023.8758824117407,SUF,OS
60276,-15.262124,24.94307,629.6190531734105,RNO,US
13730,-2.8142686,6.28592,901.8735568493307,TRN,AZ
9916,-12.77541,27.876133,575.0017892715338,ROA,AF
6741,32.24289,-45.880573,4005.5088356419633,SEA,AA
67396,7.146943,-23.888859,1667.6962195562533,YBP,ZH
16346,5.2396474,23.552202,559.9719289865333,HFE,CA
56776,-3.6600537,37.537903,323.5753334501604,IAH,UA
19392,4.3910103,29.378294,406.4487761881182,XIY,CZ
9876,-17.136414,10.950382,817.2204221283627,PHF,AF
60223,-17.187016,6.1786523,889.0793631073735,PIT,US
48552,10.178847,-33.509518,2001.080073580958,DME,S7
32902,-3.1417398,7.1273174,883.2522869101415,SCQ,IB
57927,-1.4927529,-23.904848,1522.2312773321541,ZLO,UA
16888,5.4227815,-3.6134756,1129.731325372212,SHE,CA
7864,-15.574544,17.29092,728.2519715279352,DCA,AC
13751,-2.5892618,5.418058,921.8416302901187,VCE,AZ
34555,6.3902397,7.3535376,907.3007640411715,HKD,JL
34775,5.8131046,-2.586862,1102.927580301865,NRT,JL
5073,-16.420588,14.613228,765.7212635670636,DAY,AA
52852,1.6293211,23.8823,581.8602440392095,TZX,TK
50029,1.1729027,-17.993881,1449.6289674457296,MBA,SK
10023,-2.2006333,-1.3900256,1085.9033493587308,VLC,AF
53796,1.2982126,-24.047058,1589.052331100375,OPO,TP
50899,6.437936,-29.683443,1773.4333621165308,LED,SU
32339,-3.4240506,10.755764,810.8936605799021,BCN,IB
32210,-3.5628405,12.5339155,768.2318493941316,AGP,IB
55803,-10.00752,-9.357935,1199.3163539241525,ATL,UA
6511,-13.386419,25.544966,607.0884895838692,PHL,AA
21950,-15.750661,18.726828,706.9022202298959,YOW,DL
11735,-12.732015,30.253782,543.1892787392358,LAX,AS
16472,5.6816974,17.772314,681.8738390374103,JJN,CA
18426,4.5777307,31.472176,317.226671924866,DLC,CZ
59257,-0.55155325,40.419178,192.07030247271354,FLG,US
20715,-9.634272,31.893942,491.7696585239688,ESC,DL
3971,24.13918,-42.494656,2883.615083896108,BLR,9W
5965,33.00827,-45.570095,4104.686595514186,MCO,AA
34507,6.2206435,22.793806,578.3801693372764,CTS,JL
39762,21.761564,-40.695023,2688.0863256636267,ZRH,LX
66839,4.3221803,-10.395332,1295.7580182343427,GYS,ZH
42207,5.6285434,21.542393,607.5466729335096,SHA,MU
25569,-12.408323,-8.788585,1160.0332043857309,TUS,FL
25525,-14.031197,25.347996,614.1927307085582,STL,FL
10968,-15.987865,-1.0047313,1010.9375662213475,GDL,AM
51252,-1.2026627,-2.4286823,1113.7348699818635,BAH,SV
57491,-5.926901,-15.3537245,1369.5283587476922,PSC,UA
56739,-4.7157345,37.02721,349.08429058076035,IAH,UA
16643,5.1079984,24.772406,531.9367548521147,NNG,CA
56186,-9.944359,32.489697,488.1050440460577,DEN,UA
9869,18.670713,-38.53247,2457.0402754190354,PAP,AF
20527,-16.437637,6.726355,881.7963472592369,DAY,DL
67082,6.192057,-21.916014,1598.5262266818463,PEK,ZH
52376,1.9792924,25.968494,507.550110610063,ESB,TK
56770,-6.8148375,-13.56391,1312.0444371990816,IAH,UA
13757,1.5319204,27.53669,455.54635691795426,VCE,AZ
17272,4.3774114,29.782461,389.81199828406756,ZHA,CA
5487,-6.123662,35.388992,399.0390135031958,GSO,AA
32449,31.338726,-45.374557,3793.543994382027,DME,IB
55763,-14.473386,-5.3321056,1087.572891707425,ABQ,UA
40528,6.3284154,16.87832,703.3573400896196,BKK,MH
19402,5.1415343,-20.452183,1548.858864488975,XMN,CZ
24993,-10.419923,-9.556992,1199.4052065652356,CHS,FL
67069,4.724562,30.576193,362.2718026033478,PEK,ZH
40500,3.2598178,30.239244,380.6524263288293,AUH,MH
60963,30.227835,-45.35142,3619.477314781584,AKL,VA
16944,4.7015777,-3.9699943,1139.4861454234963,SZX,CA
5023,28.163464,-43.753178,3300.109724333543,CMB,AA
25471,-5.6489525,-16.067865,1395.1092057509343,SEA,FL
44276,6.8251643,-29.59461,1780.4788850441985,LYS,OA
38082,-1.8124278,38.018238,279.31232849505204,CLO,LH
64625,-14.017942,-4.639214,1084.5929689177433,MIA,WS
4325,7.5728292,-30.598078,1840.914536739888,CPH,A3
33639,1.3865869,-14.480109,1372.1609887467941,BAH,IY
16924,8.904604,-29.705969,1837.5540423327445,SYX,CA
59498,-4.5950465,37.704494,336.732271981143,LAX,US
6762,-14.320959,-5.7953787,1093.0595602394146,SEA,AA
25252,-16.0547,3.3025742,940.1483238745559,MDW,FL
34826,4.6454897,-10.633244,1303.389002951669,SHE,JL
24966,-16.050554,0.73159677,980.5451788294096,BWI,FL
25381,-1.3914658,38.519897,256.89032415718333,ORF,FL
67143,6.269002,8.682982,881.5695395593258,PEK,ZH
25117,14.274533,-35.345577,2179.732267154055,HOU,FL
48299,4.0629635,32.20762,276.1240903760275,IMF,S2
33109,3.3278818,-25.67514,1670.0090529248305,CTA,IG
42485,4.661975,-9.589729,1274.6808344421788,WXN,MU
25466,-16.715292,12.224135,794.6538238957302,SDF,FL
11136,-0.7880269,40.005592,209.62123500789508,MLM,AM
32878,-2.4240143,2.133698,1002.6847625170093,PMO,IB
56101,-5.73054,36.864582,370.2002477552185,DEN,UA
21633,-17.686808,9.159643,844.021117240422,RDM,DL
5579,19.029375,-39.63727,2513.0891358999725,IST,AA
32369,-2.18101,-4.2164793,1152.5110769216717,BIO,IB
16550,4.5091157,-8.119945,1236.6558214394172,KWL,CA
39716,26.227894,-42.703278,3062.6157671469127,TFS,LX
60131,-13.978323,23.946814,634.4819861279402,PHL,US
13543,-2.1497316,0.12585919,1049.07350333302,MXP,AZ
20812,-17.344458,16.445585,745.8621439513569,GTF,DL
5655,0.42484838,39.37218,180.72830943076053,JUL,AA
16788,4.321856,30.523003,362.55308589573474,PEK,CA
25509,-5.8916206,-14.958445,1359.6857144946507,SNA,FL
42812,4.6615844,28.408546,442.54572704468563,DLC,NH
8975,-17.009642,11.765394,803.641253202455,AEX,AF
33208,-2.5365143,3.7436287,964.0014007514633,OLB,IG
57156,-0.11393019,39.84255,190.14804041566674,MKG,UA
16659,10.272843,-31.661665,1955.626802116394,NRT,CA
