DestLat,DestLon,Distance
61793,51.4706,-0.461941,242.81089399247946
66703,38.481899,106.009003,976.1011855215368
17139,23.39240074157715,113.29900360107422,672.2703799692479
32430,43.810001,11.2051,1317.0401481871786
56310,39.90240097045898,-84.21939849853516,856.4189992724889
21264,39.2976,-94.713898,632.2990554978732
56824,37.50519943237305,-77.3197021484375,1859.9636103091082
9570,13.681099891662598,100.74700164794922,673.5405578080735
44290,40.51969909667969,22.97089958190918,638.2460155252529
67404,39.1244010925,117.346000671,715.2753582314349
42777,31.143400192260746,121.80500030517578,1461.2107347843462
13622,52.5597,13.2877,1599.4668042592991
5531,35.2140007019043,-80.94309997558594,907.0741798698338
37625,-12.0219,-77.114305,3827.57056511568
32659,39.551700591999996,2.73881006241,712.6472183323896
25458,33.94250107,-118.40799709999999,1944.6452316669015
56040,29.98439979553223,-95.34140014648438,323.759253858548
52371,38.606899261500004,39.291400909400004,566.9205786691267
17091,36.5152015686,103.620002747,1594.3441714830503
60646,44.5711111,26.085,2457.9746524682664
13520,19.4363,-99.072098,2050.7079202094415
6764,38.69540023803711,-121.59100341796876,975.089316263444
33209,48.6898994446,9.22196006775,866.6539186577961
25312,27.975500106811523,-82.533203125,1939.2979187712533
17214,31.4944000244,120.429000854,805.1062047669692
5086,35.03530120849609,-85.20379638671875,840.2055686152863
7777,48.110298156738004,16.569700241089002,1664.8511463114305
19193,41.63980102539063,123.48300170898438,757.2410116420773
59250,37.9364013672,23.944499969499997,1086.2821640529971
62494,35.3396987915,25.1802997589,2145.455182487451
14815,25.79319953918457,-80.29060363769531,2050.7079202094415
55838,39.861698150635,-104.672996521,1356.7708249200514
67164,40.0801010131836,116.58499908447266,753.1644292862825
25562,47.449001,-122.308998,4050.968074881009
32299,38.8728981018,1.3731199502899998,276.1540763332039
66914,31.143400192260746,121.80500030517578,1653.5261410809796
25274,29.99340057373047,-90.25800323486328,1330.3866693839416
21699,35.04240036010742,-89.97669982910156,1005.5709941487708
39581,47.464698999999996,8.54917,1232.4770099194452
56292,36.1245002746582,-86.6781997680664,1201.0092247137677
67028,25.101944399999997,102.9291667,1721.674683288698
20581,41.338500976599995,-75.72339630130001,639.9099582368332
8136,40.77719879,-73.87259674,526.0363225770185
25074,36.1245002746582,-86.6781997680664,1201.0092247137677
66639,32.391101837158196,105.7020034790039,1247.5434814612522
36120,37.46910095214844,126.45099639892578,448.4486329472763
17008,23.39240074157715,113.29900360107422,1543.4537056220515
56159,36.58700180053711,-121.84300231933594,1540.7703043808765
4708,7.180759906768799,79.88410186767578,3300.109724333543
66973,30.578500747680664,103.9469985961914,2015.1411737566025
57710,48.646900177,-123.426002502,1229.1755194597313
60569,44.5711111,26.085,1980.4718075012772
48346,28.5665,77.103104,944.8311267698501
