,x,y,label,href,title,author
745,-0.8068269,1.3090615,"['1893', 'illustration', 'Art Nouveau (Modern)', ['Art Institute of Chicago', ' Chicago', ' IL', ' US'], ['Art Institute of Chicago', ' Chicago', ' IL', ' US'], ['Art Institute of Chicago', ' Chicago', ' IL', ' US'], ['Art Institute of Chicago', ' Chicago', ' IL', ' US'], ['group-portraits', ' gates-and-towers', ' fictional-characters'], ['group-portraits', ' gates-and-towers', ' fictional-characters'], ['group-portraits', ' gates-and-towers', ' fictional-characters']]",./artworks/images/A Devil in Woman's Likeness_Beardsley Aubrey.jpg,A Devil in Woman's Likeness,Beardsley Aubrey
746,-0.8324809,1.3404846,"['1893', 'illustration', 'Art Nouveau (Modern)', ['fictional-characters', ' Thomas-Malory-""Le-Morte-d\'Arthur""'], ['fictional-characters', ' Thomas-Malory-""Le-Morte-d\'Arthur""']]",./artworks/images/Excalibur in the Lake_Beardsley Aubrey.jpg,Excalibur in the Lake,Beardsley Aubrey
747,-0.092651896,1.8647768,"['1893', 'design', 'Art Nouveau (Modern)', ['designs-and-sketches', ' Thomas-Malory-""Le-Morte-d\'Arthur""'], ['designs-and-sketches', ' Thomas-Malory-""Le-Morte-d\'Arthur""']]",./artworks/images/Front Cover and spine of Le Morte Darthur_Beardsley Aubrey.jpg,Front Cover and spine of Le Morte Darthur,Beardsley Aubrey
748,-0.140104,1.716754,"['1893', 'design', 'Art Nouveau (Modern)']",./artworks/images/Incipit Vita Nova_Beardsley Aubrey.jpg,Incipit Vita Nova,Beardsley Aubrey
749,-0.6396276,1.8162493,"['1893', 'illustration', 'Art Nouveau (Modern)', 'Private Collection', 'devils-and-demons']",./artworks/images/Lucians Strange Creatures_Beardsley Aubrey.jpg,Lucians Strange Creatures,Beardsley Aubrey
750,-0.83504456,1.3386477,"['1893', 'illustration', 'Art Nouveau (Modern)', ['fictional-characters', ' Thomas-Malory-""Le-Morte-d\'Arthur""', ' Launcelot'], ['fictional-characters', ' Thomas-Malory-""Le-Morte-d\'Arthur""', ' Launcelot'], ['fictional-characters', ' Thomas-Malory-""Le-Morte-d\'Arthur""', ' Launcelot']]",./artworks/images/How Sir Launcelot was Known by Dame Elaine I_Beardsley Aubrey.jpg,How Sir Launcelot was Known by Dame Elaine I,Beardsley Aubrey
751,-0.83504456,1.3386477,"['1893', 'illustration', 'Art Nouveau (Modern)', ['fictional-characters', ' Thomas-Malory-""Le-Morte-d\'Arthur""', ' Launcelot'], ['fictional-characters', ' Thomas-Malory-""Le-Morte-d\'Arthur""', ' Launcelot'], ['fictional-characters', ' Thomas-Malory-""Le-Morte-d\'Arthur""', ' Launcelot']]",./artworks/images/How Sir Launcelot was Known by Dame Elaine II_Beardsley Aubrey.jpg,How Sir Launcelot was Known by Dame Elaine II,Beardsley Aubrey
752,-0.3881062,0.9845757,"['1893', 'caricature', 'Art Nouveau (Modern)', ['male-portraits', ' famous-people'], ['male-portraits', ' famous-people']]",./artworks/images/Oscar Wilde at Work_Beardsley Aubrey.jpg,Oscar Wilde at Work,Beardsley Aubrey
753,-0.040648576,1.2593267,"['1893', 'illustration', 'Art Nouveau (Modern)', ['Victoria and Albert Museum (V&A)', ' London', ' UK'], ['Victoria and Albert Museum (V&A)', ' London', ' UK'], ['Victoria and Albert Museum (V&A)', ' London', ' UK'], 'fictional-characters']","./artworks/images/Siegfried illustration, act II_Beardsley Aubrey.jpg","Siegfried illustration, act II",Beardsley Aubrey
754,-0.09625332,1.8461201,"['1893', 'design', 'Art Nouveau (Modern)', 'designs-and-sketches']",./artworks/images/The Cover of The Studio Volume 1_Beardsley Aubrey.jpg,The Cover of The Studio Volume 1,Beardsley Aubrey
755,-0.019649105,1.260468,"['1893', 'illustration', 'Art Nouveau (Modern)', ['Victoria and Albert Museum (V&A)', ' London', ' UK'], ['Victoria and Albert Museum (V&A)', ' London', ' UK'], ['Victoria and Albert Museum (V&A)', ' London', ' UK'], 'mother-and-child']",./artworks/images/The Kiss of Judas_Beardsley Aubrey.jpg,The Kiss of Judas,Beardsley Aubrey
756,-0.09625332,1.8461201,"['1893', 'design', 'Art Nouveau (Modern)', 'designs-and-sketches']",./artworks/images/Title page_Beardsley Aubrey.jpg,Title page,Beardsley Aubrey
757,-0.65493816,1.3212907,"['1893', 'illustration', 'Art Nouveau (Modern)', ['devils-and-demons', ' couples'], ['devils-and-demons', ' couples']]",./artworks/images/Creation_Beardsley Aubrey.jpg,Creation,Beardsley Aubrey
758,0.77774,0.99121445,"['1894', 'genre painting', 'Art Nouveau (Modern)', ['Fitzwilliam Museum (University of Cambridge)', ' Cambridge', ' UK'], ['Fitzwilliam Museum (University of Cambridge)', ' Cambridge', ' UK'], ['Fitzwilliam Museum (University of Cambridge)', ' Cambridge', ' UK'], 'male-portraits']",./artworks/images/A Nightpiece_Beardsley Aubrey.jpg,A Nightpiece,Beardsley Aubrey
759,-0.4102148,1.8473581,"['1894', 'design', 'Art Nouveau (Modern)', 'Private Collection', 'designs-and-sketches']",./artworks/images/Advertisement for Children's Books_Beardsley Aubrey.jpg,Advertisement for Children's Books,Beardsley Aubrey
760,-0.048723903,1.8540233,"['1894', 'design', 'Art Nouveau (Modern)', 'designs-and-sketches']",./artworks/images/Cover 1894_Beardsley Aubrey.jpg,Cover 1894,Beardsley Aubrey
761,-0.41021928,1.8473591,"['1894', 'design', 'Art Nouveau (Modern)', 'Private Collection', 'designs-and-sketches']",./artworks/images/Ex-Libris by John Lumsden Propert_Beardsley Aubrey.jpg,Ex-Libris by John Lumsden Propert,Beardsley Aubrey
762,-0.32698235,1.5998516,"['1894', 'design', 'Art Nouveau (Modern)', ['Yale Centre For British Art (Yale University)', ' New Haven', ' CT', ' US'], ['Yale Centre For British Art (Yale University)', ' New Haven', ' CT', ' US'], ['Yale Centre For British Art (Yale University)', ' New Haven', ' CT', ' US'], ['Yale Centre For British Art (Yale University)', ' New Haven', ' CT', ' US'], ['female-portraits', ' fictional-characters'], ['female-portraits', ' fictional-characters']]",./artworks/images/Frontispiece for 'The Yellow Book: An Illustrated Quarterly'_Beardsley Aubrey.jpg,Frontispiece for 'The Yellow Book: An Illustrated Quarterly',Beardsley Aubrey
763,-0.7476929,1.7984349,"['1894', 'illustration', 'Art Nouveau (Modern)', 'Private Collection', ['male-portraits', ' fictional-characters'], ['male-portraits', ' fictional-characters']]",./artworks/images/Garcons de Cafe_Beardsley Aubrey.jpg,Garcons de Cafe,Beardsley Aubrey
764,-0.7319063,1.8325938,"['1894', 'illustration', 'Art Nouveau (Modern)', 'Private Collection', ['fictional-characters', ' Thomas-Malory-""Le-Morte-d\'Arthur""'], ['fictional-characters', ' Thomas-Malory-""Le-Morte-d\'Arthur""']]",./artworks/images/How Queen Guenever Made Her a Nun_Beardsley Aubrey.jpg,How Queen Guenever Made Her a Nun,Beardsley Aubrey
765,-0.85940135,1.3400602,"['1894', 'illustration', 'Art Nouveau (Modern)', ['Fogg Museum (Harvard Art Museums)', ' Cambridge', ' MA', ' US'], ['Fogg Museum (Harvard Art Museums)', ' Cambridge', ' MA', ' US'], ['Fogg Museum (Harvard Art Museums)', ' Cambridge', ' MA', ' US'], ['Fogg Museum (Harvard Art Museums)', ' Cambridge', ' MA', ' US'], ['fictional-characters', ' Thomas-Malory-""Le-Morte-d\'Arthur""'], ['fictional-characters', ' Thomas-Malory-""Le-Morte-d\'Arthur""']]",./artworks/images/How Sir Tristram Drank of the Love Drink_Beardsley Aubrey.jpg,How Sir Tristram Drank of the Love Drink,Beardsley Aubrey
766,-0.73277694,1.8393743,"['1894', 'illustration', 'Art Nouveau (Modern)', 'Private Collection', ['fictional-characters', ' Isolde', ' Thomas-Malory-""Le-Morte-d\'Arthur""'], ['fictional-characters', ' Isolde', ' Thomas-Malory-""Le-Morte-d\'Arthur""'], ['fictional-characters', ' Isolde', ' Thomas-Malory-""Le-Morte-d\'Arthur""']]",./artworks/images/La Beale Isoud at Joyous Gard_Beardsley Aubrey.jpg,La Beale Isoud at Joyous Gard,Beardsley Aubrey
767,-0.71421516,1.8208613,"['1894', 'illustration', 'Art Nouveau (Modern)', 'Private Collection', ['group-portraits', ' fictional-characters'], ['group-portraits', ' fictional-characters']]",./artworks/images/Lady Gold's Escort_Beardsley Aubrey.jpg,Lady Gold's Escort,Beardsley Aubrey
768,-0.6217046,1.7505409,"['1894', 'illustration', 'Art Nouveau (Modern)', 'Private Collection', ['female-portraits', ' fictional-characters'], ['female-portraits', ' fictional-characters']]",./artworks/images/Madame Rejane_Beardsley Aubrey.jpg,Madame Rejane,Beardsley Aubrey
769,-0.86736673,1.3903016,"['1894', 'illustration', 'Art Nouveau (Modern)', ['fictional-characters', ' Merlin', ' Thomas-Malory-""Le-Morte-d\'Arthur""', ' Nimue'], ['fictional-characters', ' Merlin', ' Thomas-Malory-""Le-Morte-d\'Arthur""', ' Nimue'], ['fictional-characters', ' Merlin', ' Thomas-Malory-""Le-Morte-d\'Arthur""', ' Nimue'], ['fictional-characters', ' Merlin', ' Thomas-Malory-""Le-Morte-d\'Arthur""', ' Nimue']]",./artworks/images/Merlin and Nimue_Beardsley Aubrey.jpg,Merlin and Nimue,Beardsley Aubrey
770,-0.6217046,1.7505409,"['1894', 'illustration', 'Art Nouveau (Modern)', 'Private Collection', ['female-portraits', ' fictional-characters'], ['female-portraits', ' fictional-characters']]",./artworks/images/Mrs Winifred Emery_Beardsley Aubrey.jpg,Mrs Winifred Emery,Beardsley Aubrey
771,-0.7780304,1.3983128,"['1894', 'illustration', 'Art Nouveau (Modern)', ['female-nude', ' male-nude', ' Thomas-Malory-""Le-Morte-d\'Arthur""'], ['female-nude', ' male-nude', ' Thomas-Malory-""Le-Morte-d\'Arthur""'], ['female-nude', ' male-nude', ' Thomas-Malory-""Le-Morte-d\'Arthur""']]",./artworks/images/Hermaphrodite Among Roses_Beardsley Aubrey.jpg,Hermaphrodite Among Roses,Beardsley Aubrey
772,-0.6217046,1.7505409,"['1894', 'illustration', 'Art Nouveau (Modern)', 'Private Collection', ['female-portraits', ' fictional-characters'], ['female-portraits', ' fictional-characters']]",./artworks/images/Portrait of himself in bed_Beardsley Aubrey.jpg,Portrait of himself in bed,Beardsley Aubrey
773,-0.48282993,1.3396409,"['1894', 'poster', 'Art Nouveau (Modern)', 'posters-and-advertisements']","./artworks/images/Poster advertising 'A Comedy of Sighs', a play by John Todhunter_Beardsley Aubrey.jpg","Poster advertising 'A Comedy of Sighs', a play by John Todhunter",Beardsley Aubrey
774,-0.7139222,1.8390274,"['1894', 'illustration', 'Art Nouveau (Modern)', 'Private Collection', ['fictional-characters', ' Salome'], ['fictional-characters', ' Salome']]",./artworks/images/Salome with her mother_Beardsley Aubrey.jpg,Salome with her mother,Beardsley Aubrey
775,-0.8406049,1.3961945,"['1894', 'illustration', 'Art Nouveau (Modern)', ['fictional-characters', ' Salome'], ['fictional-characters', ' Salome']]",./artworks/images/The Black Cape_Beardsley Aubrey.jpg,The Black Cape,Beardsley Aubrey
776,-0.32717603,1.6009396,"['1894', 'design', 'Art Nouveau (Modern)', ['female-portraits', ' fictional-characters'], ['female-portraits', ' fictional-characters']]",./artworks/images/The cover of The Yellow Book_Beardsley Aubrey.jpg,The cover of The Yellow Book,Beardsley Aubrey
777,-0.7123637,1.8200953,"['1894', 'illustration', 'Art Nouveau (Modern)', 'Private Collection', 'fictional-characters']",./artworks/images/The Dancer's Reward_Beardsley Aubrey.jpg,The Dancer's Reward,Beardsley Aubrey
778,-0.7134059,1.8201702,"['1894', 'illustration', 'Art Nouveau (Modern)', 'Private Collection', ['fictional-characters', ' Herod'], ['fictional-characters', ' Herod']]",./artworks/images/The Eyes of Herod_Beardsley Aubrey.jpg,The Eyes of Herod,Beardsley Aubrey
779,-0.7139222,1.8390274,"['1894', 'illustration', 'Art Nouveau (Modern)', 'Private Collection', ['fictional-characters', ' Salome'], ['fictional-characters', ' Salome']]",./artworks/images/The Platonic Lament_Beardsley Aubrey.jpg,The Platonic Lament,Beardsley Aubrey
780,-0.5970092,1.7436243,"['1894', 'illustration', 'Art Nouveau (Modern)', 'Private Collection', 'female-portraits']",./artworks/images/The Slippers of Cinderella_Beardsley Aubrey.jpg,The Slippers of Cinderella,Beardsley Aubrey
781,-0.04787936,1.2594805,"['1894', 'illustration', 'Art Nouveau (Modern)', ['British Museum', ' London', ' UK'], ['British Museum', ' London', ' UK'], ['British Museum', ' London', ' UK'], ['fictional-characters', ' Salome'], ['fictional-characters', ' Salome']]",./artworks/images/The Toilet of Salome_Beardsley Aubrey.jpg,The Toilet of Salome,Beardsley Aubrey
782,-0.6879244,1.3219122,"['1894', 'illustration', 'Art Nouveau (Modern)', ['Fogg Museum (Harvard Art Museums)', ' Cambridge', ' MA', ' US'], ['Fogg Museum (Harvard Art Museums)', ' Cambridge', ' MA', ' US'], ['Fogg Museum (Harvard Art Museums)', ' Cambridge', ' MA', ' US'], ['Fogg Museum (Harvard Art Museums)', ' Cambridge', ' MA', ' US'], 'couples']",./artworks/images/The Woman in the Moon_Beardsley Aubrey.jpg,The Woman in the Moon,Beardsley Aubrey
783,-0.41021976,1.8473594,"['1894', 'design', 'Art Nouveau (Modern)', 'Private Collection', 'designs-and-sketches']",./artworks/images/The Yellow Book_Beardsley Aubrey.jpg,The Yellow Book,Beardsley Aubrey
784,-0.048723903,1.8540233,"['1894', 'design', 'Art Nouveau (Modern)', 'designs-and-sketches']",./artworks/images/Vol .III_Beardsley Aubrey.jpg,Vol .III,Beardsley Aubrey
785,-0.48746338,1.4630334,"['1894', 'illustration', 'Art Nouveau (Modern)', ['female-portraits', ' fictional-characters'], ['female-portraits', ' fictional-characters']]",./artworks/images/Yellow Book poster_Beardsley Aubrey.jpg,Yellow Book poster,Beardsley Aubrey
786,0.8441591,1.0171919,"['1894', 'genre painting', 'Art Nouveau (Modern)', 'couples']",./artworks/images/A Snare of Vintage_Beardsley Aubrey.jpg,A Snare of Vintage,Beardsley Aubrey
787,-0.8641882,1.3778845,"['1894', 'illustration', 'Art Nouveau (Modern)', ['fictional-characters', ' King-Arthur', ' Thomas-Malory-""Le-Morte-d\'Arthur""'], ['fictional-characters', ' King-Arthur', ' Thomas-Malory-""Le-Morte-d\'Arthur""'], ['fictional-characters', ' King-Arthur', ' Thomas-Malory-""Le-Morte-d\'Arthur""']]",./artworks/images/Arthur and the Strange Mantle_Beardsley Aubrey.jpg,Arthur and the Strange Mantle,Beardsley Aubrey
788,0.039924033,1.2900878,"['1894', 'genre painting', 'Art Nouveau (Modern)', ['Victoria and Albert Museum (V&A)', ' London', ' UK'], ['Victoria and Albert Museum (V&A)', ' London', ' UK'], ['Victoria and Albert Museum (V&A)', ' London', ' UK'], ['arts-and-crafts', ' toys-and-dolls'], ['arts-and-crafts', ' toys-and-dolls']]",./artworks/images/Ballet of Marionettes I_Beardsley Aubrey.jpg,Ballet of Marionettes I,Beardsley Aubrey
789,0.8437477,1.0163168,"['1894', 'genre painting', 'Art Nouveau (Modern)', ['arts-and-crafts', ' toys-and-dolls'], ['arts-and-crafts', ' toys-and-dolls']]",./artworks/images/Ballet of Marionettes III_Beardsley Aubrey.jpg,Ballet of Marionettes III,Beardsley Aubrey
