,Source,Dest,SourceID,DestID,SourceLon,DestLon,SourceLat,DestLat
5881,LHR,SFO,507,3469,-0.461941,-122.375,51.4706,37.61899948120117
5888,LHR,VIE,507,1613,-0.461941,16.569700241089002,51.4706,48.110298156738004
5893,LHR,YYZ,507,193,-0.461941,-79.63059997559999,51.4706,43.6772003174
5895,LHR,ZRH,507,1678,-0.461941,8.54917,51.4706,47.464698999999996
5929,MAD,LAX,1229,3484,-3.56264,-118.40799709999999,40.471926,33.94250107
5936,MAN,LHR,478,507,-2.2749500274658203,-0.461941,53.35369873046875,51.4706
5986,MEX,LAX,1824,3484,-99.072098,-118.40799709999999,19.4363,33.94250107
6033,MIA,DUS,3576,345,-80.29060363769531,6.766780000000001,25.79319953918457,51.289501
6155,MUC,LHR,346,507,11.7861,-0.461941,48.353802,51.4706
6230,ORD,ATL,3830,3682,-87.9048,-84.428101,41.9786,33.6367
6264,ORD,EWR,3830,3494,-87.9048,-74.168701171875,41.9786,40.69250106811523
6273,ORD,HKG,3830,3077,-87.9048,113.915001,41.9786,22.308901000000002
6276,ORD,IAH,3830,3550,-87.9048,-95.34140014648438,41.9786,29.98439979553223
6349,ORD,YYZ,3830,193,-87.9048,-79.63059997559999,41.9786,43.6772003174
6403,PHL,ATL,3752,3682,-75.24109649658203,-84.428101,39.87189865112305,33.6367
6514,PHL,YYZ,3752,193,-75.24109649658203,-79.63059997559999,39.87189865112305,43.6772003174
6518,PHX,ATL,3462,3682,-112.01200103759766,-84.428101,33.43429946899414,33.6367
6550,PHX,LHR,3462,507,-112.01200103759766,-0.461941,33.43429946899414,51.4706
6770,SFO,HKG,3469,3077,-122.375,113.915001,37.61899948120117,22.308901000000002
6774,SFO,LHR,3469,507,-122.375,-0.461941,37.61899948120117,51.4706
6939,VIE,LHR,1613,507,16.569700241089002,-0.461941,48.110298156738004,51.4706
6991,YYZ,CLT,193,3876,-79.63059997559999,-80.94309997558594,43.6772003174,35.2140007019043
6994,YYZ,JFK,193,3797,-79.63059997559999,-73.77890015,43.6772003174,40.63980103
6998,YYZ,LHR,193,507,-79.63059997559999,-0.461941,43.6772003174,51.4706
7001,YYZ,ORD,193,3830,-79.63059997559999,-87.9048,43.6772003174,41.9786
